date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:05	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Feb%202018%2006:44:05%20GMT	http://botshock.digital-camp.com/robots.txt		(from )
14:44:06	33599/33599	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202018%2006:44:05%20GMT	http://botshock.digital-camp.com/botshock/	C:/Users/AsOne/Desktop/works/botshock/botshock/botshock.digital-camp.com/botshock/index.html	(from )
14:44:06	7611/7611	---M-Z	200	added ('OK')	text/xml	date:Fri,%2002%20Feb%202018%2006:44:06%20GMT	http://botshock.digital-camp.com/botshock/deal/rss/Hong+Kong	C:/Users/AsOne/Desktop/works/botshock/botshock/botshock.digital-camp.com/botshock/deal/rss/Hong+Kong	(from http://botshock.digital-camp.com/botshock/)
14:44:06	6324/6324	---M--	200	added ('OK')	image/png	etag:%2218b4-55a12194de600%22	http://botshock.digital-camp.com/botshock/apple-touch-icon.png	C:/Users/AsOne/Desktop/works/botshock/botshock/botshock.digital-camp.com/botshock/apple-touch-icon.png	(from http://botshock.digital-camp.com/botshock/)
14:44:07	1618/1618	---M--	200	added ('OK')	image/png	etag:%22652-55a12194de600%22	http://botshock.digital-camp.com/botshock/favicon-32x32.png	C:/Users/AsOne/Desktop/works/botshock/botshock/botshock.digital-camp.com/botshock/favicon-32x32.png	(from http://botshock.digital-camp.com/botshock/)
14:44:07	974/974	---M--	200	added ('OK')	image/png	etag:%223ce-55a12194de600%22	http://botshock.digital-camp.com/botshock//favicon-16x16.png	C:/Users/AsOne/Desktop/works/botshock/botshock/botshock.digital-camp.com/botshock/favicon-16x16.png	(from http://botshock.digital-camp.com/botshock/)
14:44:07	403/403	---M--	200	added ('OK')	application/json	etag:%22193-55a12195d2840%22	http://botshock.digital-camp.com/botshock/manifest.json	C:/Users/AsOne/Desktop/works/botshock/botshock/botshock.digital-camp.com/botshock/manifest.json	(from http://botshock.digital-camp.com/botshock/)
14:44:07	1841/1841	---M--	200	added ('OK')	image/svg+xml	etag:%22731-55a12195d2840%22	http://botshock.digital-camp.com/botshock/safari-pinned-tab.svg	C:/Users/AsOne/Desktop/works/botshock/botshock/botshock.digital-camp.com/botshock/safari-pinned-tab.svg	(from http://botshock.digital-camp.com/botshock/)
14:44:07	112/112	---M-Z	200	added ('OK')	text/css	etag:%2270-55bb6cb32e050-gzip%22	http://botshock.digital-camp.com/botshock/assets/c865fc81/deal.side.css	C:/Users/AsOne/Desktop/works/botshock/botshock/botshock.digital-camp.com/botshock/assets/c865fc81/deal.side.css	(from http://botshock.digital-camp.com/botshock/)
14:44:08	142530/142530	---M-Z	200	added ('OK')	text/css	etag:%2222cc2-5631c52af2f40-gzip%22	http://botshock.digital-camp.com/botshock/themes/botshock/css/style.css	C:/Users/AsOne/Desktop/works/botshock/botshock/botshock.digital-camp.com/botshock/themes/botshock/css/style.css	(from http://botshock.digital-camp.com/botshock/)
14:44:08	2441/2441	---M-Z	200	added ('OK')	application/javascript	etag:%22989-55bb6bcd7a4f0-gzip%22	http://botshock.digital-camp.com/botshock/assets/d26e2751/jquery.scrollTo-min.js	C:/Users/AsOne/Desktop/works/botshock/botshock/botshock.digital-camp.com/botshock/assets/d26e2751/jquery.scrollTo-min.js	(from http://botshock.digital-camp.com/botshock/)
